ChargingEvent,CPID,StartDate,StartTime,EndDate,EndTime,Energy,PluginDuration
3159022,AN23004,2017-12-28,08:27:08,2017-12-28,09:47:08,3.5,1.3333333333333333
16637195,AN03612,2017-12-28,15:32:00,2017-12-29,16:19:00,9.8,24.783333333333335
16624675,AN12308,2017-12-28,09:45:00,2017-12-28,11:48:00,0.8,2.05
16610629,AN03946,2017-12-27,10:44:00,2017-12-27,14:46:00,1,4.033333333333333
16620405,AN11176,2017-12-27,22:49:00,2017-12-28,08:29:00,8.5,9.666666666666666
16615344,AN06348,2017-12-27,16:27:00,2017-12-27,17:59:00,5.5,1.5333333333333334
16612237,AN01288,2017-12-27,12:52:00,2017-12-27,16:28:00,24.3,3.6
16621237,AN17408,2017-12-27,19:11:00,2017-12-28,13:13:00,7.1,18.033333333333335
16615480,AN05037,2017-12-27,16:29:00,2017-12-29,14:07:00,10.5,45.63333333333333
3157161,AN18104,2017-12-27,20:27:20,2017-12-28,10:45:20,4.2,14.3
16621636,AN04487,2017-12-27,19:45:00,2017-12-28,07:00:00,38.6,11.25
16615598,AN11314,2017-12-27,16:35:00,2017-12-28,08:59:00,1.8,16.4
3154151,AN23318,2017-12-27,10:40:10,2017-12-27,14:36:10,3.1,3.933333333333333
16610992,AN00073,2017-12-27,11:17:00,2018-01-04,08:04:00,27.6,188.78333333333333
3148293,AN23952,2017-12-26,00:34:00,2017-12-26,12:06:00,22.4,11.533333333333333
16599415,AN10280,2017-12-26,11:33:00,2017-12-26,12:23:00,1.8,0.8333333333333334
3149990,AN24502,2017-12-26,13:14:13,2017-12-27,10:15:13,10.2,21.016666666666666
16601815,AN02842,2017-12-26,15:21:00,2017-12-27,09:57:00,14.4,18.6
16598362,AN06901,2017-12-26,09:14:00,2017-12-26,09:59:00,2.2,0.75
16603763,AN14337,2017-12-26,15:00:00,2017-12-26,18:12:00,8.2,3.2
16603877,AN14101,2017-12-26,10:26:00,2017-12-27,03:05:00,2.6,16.65
16589328,AN03592,2017-12-25,03:22:00,2017-12-25,08:40:00,10.2,5.3
16591145,AN04911,2017-12-25,10:55:00,2017-12-25,13:08:00,1.1,2.216666666666667
16591920,AN06012,2017-12-25,12:31:00,2017-12-26,12:00:00,9.8,23.483333333333334
16593858,AN12057,2017-12-25,17:56:00,2017-12-26,11:15:00,2.8,17.316666666666666
16579991,AN16172,2017-12-24,13:10:00,2017-12-24,19:52:00,23,6.7
16583563,AN05927,2017-12-24,16:42:00,2017-12-25,09:41:00,6.4,16.983333333333334
16584939,AN09568,2017-12-24,18:31:00,2017-12-25,07:37:00,11.1,13.1
16583170,AN10363,2017-12-24,16:18:00,2017-12-24,18:03:00,6,1.75
16586414,AN00249,2017-12-24,21:00:00,2017-12-26,14:41:00,9.4,41.68333333333333
16578097,AN00866,2017-12-24,11:24:00,2017-12-26,13:36:00,7.9,50.2
16576684,AN04740,2017-12-24,09:51:00,2017-12-24,12:15:00,6.3,2.4
16577697,AN02686,2017-12-24,09:30:00,2017-12-24,11:05:00,9.4,1.5833333333333333
3144841,AN22085,2017-12-24,16:45:16,2017-12-26,09:51:16,7.3,41.1
16583462,AN08774,2017-12-24,16:31:00,2017-12-24,18:40:00,7,2.15
16582272,AN04996,2017-12-24,15:28:00,2017-12-24,15:45:00,1.1,0.2833333333333333
16583500,AN08272,2017-12-24,16:33:00,2017-12-25,08:33:00,8.3,16
16586684,AN12077,2017-12-24,21:30:00,2017-12-25,07:44:00,6.4,10.233333333333333
16587999,AN08034,2017-12-24,19:21:00,2017-12-25,11:09:00,6.4,15.8
16578419,AN04549,2017-12-24,11:47:00,2017-12-24,13:21:00,5.8,1.5666666666666667
16566579,AN06965,2017-12-23,15:59:00,2017-12-23,16:34:00,3.3,0.5833333333333334
16568210,AN02064,2017-12-23,17:21:00,2017-12-24,10:12:00,7.3,16.85
16561107,AN15346,2017-12-23,10:36:00,2017-12-23,14:51:00,11.2,4.25
16569080,AN01115,2017-12-23,18:12:00,2017-12-24,15:36:00,7,21.4
16568065,AN05217,2017-12-23,17:18:00,2017-12-24,15:12:00,9.7,21.9
16572087,AN12936,2017-12-23,22:33:00,2017-12-24,02:34:00,7.9,4.016666666666667
16569296,AN07975,2017-12-23,18:24:00,2017-12-24,03:00:00,28.5,8.6
16568744,AN00073,2017-12-23,17:54:00,2017-12-24,12:13:00,20.9,18.316666666666666
16554330,AN06315,2017-12-22,21:20:00,2017-12-23,09:07:00,12.6,11.783333333333333
16550676,AN06221,2017-12-22,17:38:00,2017-12-23,10:48:00,3.3,17.166666666666668
16545860,AN06662,2017-12-22,14:00:00,2017-12-22,16:37:00,2.4,2.6166666666666667
16545476,AN02463,2017-12-22,13:46:00,2017-12-23,08:51:00,5.3,19.083333333333332
16555365,AN07723,2017-12-22,22:47:00,2017-12-23,13:47:00,7,15
16546093,AN15982,2017-12-22,14:18:00,2017-12-22,16:39:00,10.8,2.35
16555255,AN02217,2017-12-22,22:38:00,2017-12-23,15:48:00,10.9,17.166666666666668
16562473,AN06339,2017-12-22,16:04:00,2017-12-22,16:19:00,0.8,0.25
16556230,AN00951,2017-12-22,22:54:00,2017-12-24,08:08:00,2.8,33.233333333333334
3132933,AN24736,2017-12-22,14:20:14,2017-12-22,19:27:14,6.1,5.116666666666666
16540544,AN09935,2017-12-22,08:18:00,2017-12-22,18:59:00,9.8,10.683333333333334
16543781,AN04849,2017-12-22,12:17:00,2017-12-22,13:08:00,3.5,0.85
16555166,AN10886,2017-12-22,14:50:00,2017-12-23,10:33:00,4.3,19.716666666666665
16549625,AN17357,2017-12-22,16:17:00,2017-12-22,16:47:00,1.3,0.5
16548201,AN01809,2017-12-22,15:51:00,2017-12-23,10:03:00,11.1,18.2
16552969,AN04958,2017-12-22,19:39:00,2017-12-23,14:43:00,15.5,19.066666666666666
16547351,AN03627,2017-12-22,15:18:00,2017-12-23,16:22:00,3.3,25.066666666666666
16528970,AN03946,2017-12-21,16:17:00,2017-12-22,05:03:00,10.2,12.766666666666667
16530418,AN10813,2017-12-21,17:25:00,2017-12-22,07:00:00,9.1,13.583333333333334
16527449,AN06244,2017-12-21,15:03:00,2017-12-21,16:20:00,4.6,1.2833333333333334
3126868,AN21814,2017-12-21,16:32:16,2017-12-21,17:15:16,3.9,0.7166666666666667
16528740,AN11620,2017-12-21,16:05:00,2017-12-21,16:24:00,1,0.31666666666666665
16534738,AN00866,2017-12-21,20:37:00,2017-12-22,07:48:00,8.2,11.183333333333334
16529596,AN04983,2017-12-21,16:46:00,2017-12-21,18:09:00,4.3,1.3833333333333333
16537005,AN03579,2017-12-21,23:38:00,2017-12-22,11:54:00,7.9,12.266666666666667
16541069,AN15785,2017-12-21,13:28:00,2017-12-21,16:26:00,20.3,2.966666666666667
16522869,AN04049,2017-12-21,09:19:00,2017-12-21,10:56:00,13.2,1.6166666666666667
16534374,AN09977,2017-12-21,17:51:00,2017-12-21,20:19:00,7.5,2.466666666666667
16533686,AN00019,2017-12-21,19:43:00,2017-12-22,08:58:00,7.6,13.25
16534952,AN17878,2017-12-21,20:52:00,2017-12-22,09:20:00,7.6,12.466666666666667
16515161,AN13683,2017-12-20,20:58:00,2017-12-21,07:08:00,1.5,10.166666666666666
16502187,AN13118,2017-12-20,08:03:00,2017-12-20,18:36:00,2.2,10.55
16506382,AN04271,2017-12-20,13:40:00,2017-12-21,06:54:00,6.8,17.233333333333334
16514376,AN03977,2017-12-20,20:14:00,2017-12-21,06:57:00,9,10.716666666666667
16518154,AN11031,2017-12-20,16:38:00,2017-12-21,12:37:00,5.7,19.983333333333334
16514408,AN15394,2017-12-20,20:15:00,2017-12-21,06:45:00,14.9,10.5
3120099,AN23357,2017-12-20,18:21:18,2017-12-21,07:38:18,13.1,13.283333333333333
16502834,AN02510,2017-12-20,08:56:00,2017-12-20,11:19:00,12.3,2.3833333333333333
16505860,AN03963,2017-12-20,13:10:00,2017-12-20,15:39:00,6,2.4833333333333334
3121365,AN21824,2017-12-20,20:09:20,2017-12-21,12:26:20,1.4,16.283333333333335
16509887,AN11953,2017-12-20,17:05:00,2017-12-20,17:31:00,1.1,0.43333333333333335
16510545,AN02892,2017-12-20,17:26:00,2017-12-20,18:52:00,4.4,1.4333333333333333
16501759,AN02061,2017-12-20,07:31:00,2017-12-20,09:39:00,4.8,2.1333333333333333
16511146,AN04958,2017-12-20,17:55:00,2017-12-21,06:22:00,4.3,12.45
3117587,AN23006,2017-12-20,13:30:13,2017-12-21,15:52:13,4.9,26.366666666666667
16493371,AN08176,2017-12-19,18:59:00,2017-12-20,08:06:00,8.4,13.116666666666667
3109345,AN24850,2017-12-19,11:27:11,2017-12-19,13:54:11,3.6,2.45
16492398,AN00866,2017-12-19,15:12:00,2017-12-19,18:24:00,3.1,3.2
16498236,AN08477,2017-12-19,18:36:00,2017-12-20,10:52:00,8.6,16.266666666666666
16482098,AN16967,2017-12-19,02:08:00,2017-12-19,04:58:00,2,2.8333333333333335
3114200,AN19788,2017-12-19,20:38:20,2017-12-24,15:49:20,4.9,115.18333333333334
16495726,AN05623,2017-12-19,21:05:00,2017-12-20,06:40:00,9.7,9.583333333333334
16496848,AN07752,2017-12-19,22:19:00,2017-12-20,06:26:00,1.9,8.116666666666667
16483867,AN04049,2017-12-19,10:55:00,2017-12-19,11:33:00,5.2,0.6333333333333333
16490181,AN15474,2017-12-19,17:02:00,2017-12-19,20:21:00,13.9,3.316666666666667
16489107,AN11077,2017-12-19,16:14:00,2017-12-19,16:40:00,1.5,0.43333333333333335
16498336,AN03701,2017-12-19,17:59:00,2017-12-20,15:54:00,18.3,21.916666666666668
16488132,AN01809,2017-12-19,15:27:00,2017-12-19,20:33:00,15.3,5.1
3112548,AN23837,2017-12-19,18:23:18,2017-12-19,18:38:18,0.7,0.25
16492990,AN08067,2017-12-19,16:05:00,2017-12-19,18:47:00,2.8,2.7
16488980,AN06291,2017-12-19,16:08:00,2017-12-19,16:17:00,0.6,0.15
16464922,AN08518,2017-12-18,13:44:00,2017-12-19,07:43:00,3.1,17.983333333333334
3104150,AN22101,2017-12-18,16:38:16,2017-12-19,09:30:16,8.3,16.866666666666667
3103600,AN23342,2017-12-18,15:19:15,2017-12-19,08:28:15,11.8,17.15
3101645,AN21814,2017-12-18,08:36:08,2017-12-18,13:33:08,18.7,4.95
16477740,AN11031,2017-12-18,22:25:00,2017-12-19,07:03:00,7,8.633333333333333
16472526,AN11620,2017-12-18,19:06:00,2017-12-19,07:08:00,9.9,12.033333333333333
16467256,AN02301,2017-12-18,15:55:00,2017-12-18,18:05:00,5.4,2.1666666666666665
16462618,AN10153,2017-12-18,11:12:00,2017-12-18,14:32:00,7.3,3.3333333333333335
16466374,AN01886,2017-12-18,15:18:00,2017-12-19,08:54:00,6.5,17.6
16478063,AN09995,2017-12-18,16:07:00,2017-12-19,09:46:00,3.2,17.65
16473638,AN01314,2017-12-18,19:54:00,2017-12-19,08:10:00,4.1,12.266666666666667
16475820,AN00559,2017-12-18,22:01:00,2017-12-19,08:33:00,8.7,10.533333333333333
16443831,AN17688,2017-12-17,10:29:00,2017-12-17,13:31:00,3.5,3.033333333333333
16451721,AN13627,2017-12-17,18:12:00,2017-12-17,20:52:00,3.8,2.6666666666666665
3094511,AN24340,2017-12-17,01:10:01,2017-12-18,07:35:01,7.2,30.416666666666668
16450005,AN01047,2017-12-17,04:31:00,2017-12-18,05:53:00,4.1,25.366666666666667
16455078,AN17684,2017-12-17,22:24:00,2017-12-18,08:07:00,11.7,9.716666666666667
16455697,AN02813,2017-12-17,21:52:00,2017-12-18,11:50:00,12.7,13.966666666666667
16454434,AN15180,2017-12-17,09:32:00,2017-12-17,23:44:00,9.6,14.2
16443767,AN03499,2017-12-17,10:24:00,2017-12-17,12:20:00,13.8,1.9333333333333333
16441229,AN01006,2017-12-17,01:17:00,2017-12-17,09:54:00,10.1,8.616666666666667
16452184,AN01037,2017-12-17,18:41:00,2017-12-18,07:20:00,40.6,12.65
16447129,AN06417,2017-12-17,14:06:00,2017-12-17,14:28:00,1.5,0.36666666666666664
16454939,AN15242,2017-12-17,22:19:00,2017-12-18,08:11:00,59.7,9.866666666666667
16445631,AN14008,2017-12-17,00:32:00,2017-12-17,15:54:00,12.6,15.366666666666667
16432677,AN03025,2017-12-16,15:46:00,2017-12-16,16:31:00,2.4,0.75
16426713,AN04241,2017-12-16,11:03:00,2017-12-16,15:46:00,3.9,4.716666666666667
16433975,AN04102,2017-12-16,16:54:00,2017-12-17,12:12:00,8.5,19.3
16438111,AN07041,2017-12-16,21:26:00,2017-12-17,13:40:00,9.1,16.233333333333334
16439791,AN16545,2017-12-16,18:40:00,2017-12-17,10:03:00,8.9,15.383333333333333
3091394,AN24438,2017-12-16,14:46:14,2017-12-17,11:12:14,5.9,20.433333333333334
3091434,AN18014,2017-12-16,15:06:15,2017-12-17,11:13:15,9.6,20.116666666666667
3094291,AN18206,2017-12-16,23:44:23,2017-12-17,11:58:23,19.3,12.233333333333333
16438488,AN04335,2017-12-16,22:05:00,2017-12-17,07:36:00,20.3,9.516666666666667
3092888,AN19792,2017-12-16,18:33:18,2017-12-17,11:21:18,14.2,16.8
16430512,AN03126,2017-12-16,08:25:00,2017-12-16,13:57:00,9.2,5.533333333333333
16430143,AN09784,2017-12-16,10:42:00,2017-12-16,13:40:00,2.8,2.966666666666667
16440461,AN08299,2017-12-16,20:12:00,2017-12-17,10:37:00,3.5,14.416666666666666
16438761,AN16766,2017-12-16,15:43:00,2017-12-17,10:38:00,10.9,18.916666666666668
16428114,AN04293,2017-12-16,12:13:00,2017-12-16,15:12:00,4.9,2.9833333333333334
16432674,AN11494,2017-12-16,15:49:00,2017-12-16,16:38:00,0.9,0.8166666666666667
16436902,AN06953,2017-12-16,19:37:00,2017-12-18,07:10:00,5.8,35.55
16415257,AN03272,2017-12-15,07:07:00,2017-12-15,07:27:00,1.3,0.3333333333333333
16425543,AN03523,2017-12-15,21:10:00,2017-12-16,09:39:00,7.3,12.483333333333333
16416677,AN05324,2017-12-15,18:54:00,2017-12-15,19:54:00,3,1
3082073,AN24804,2017-12-15,12:56:12,2017-12-16,09:11:12,4.8,20.25
16414417,AN07723,2017-12-15,17:25:00,2017-12-16,11:19:00,10.4,17.9
16420227,AN00249,2017-12-15,22:49:00,2017-12-16,09:58:00,4.6,11.15
16408158,AN07641,2017-12-15,12:17:00,2017-12-15,12:32:00,0.8,0.25
16412069,AN12936,2017-12-15,15:53:00,2017-12-15,18:46:00,7.8,2.8833333333333333
16415217,AN09394,2017-12-15,17:54:00,2017-12-16,11:49:00,18,17.916666666666668
16401794,AN15998,2017-12-15,00:21:00,2017-12-15,07:34:00,6.2,7.216666666666667
16420865,AN14395,2017-12-15,23:45:00,2017-12-19,10:20:00,33,82.58333333333333
16405094,AN13977,2017-12-15,08:47:00,2017-12-15,11:59:00,16.4,3.2
16415426,AN03492,2017-12-15,18:00:00,2017-12-15,18:46:00,3.2,0.7666666666666667
16410546,AN04359,2017-12-15,14:40:00,2017-12-15,21:31:00,8.7,6.85
16417026,AN00346,2017-12-15,16:43:00,2017-12-15,19:13:00,0.3,2.5
16419387,AN12968,2017-12-15,21:45:00,2017-12-16,05:10:00,8.4,7.416666666666667
16422045,AN01267,2017-12-15,19:34:00,2017-12-18,06:53:00,13.4,59.31666666666667
3085725,AN18005,2017-12-15,19:37:19,2017-12-16,08:48:19,11.4,13.183333333333334
16391452,AN15209,2017-12-14,16:44:00,2017-12-15,08:01:00,26.8,15.283333333333333
16385133,AN04258,2017-12-14,10:10:00,2017-12-14,10:36:00,0.4,0.43333333333333335
16400074,AN04369,2017-12-14,23:28:00,2017-12-15,08:08:00,4.2,8.666666666666666
3075445,AN24438,2017-12-14,11:54:11,2017-12-14,13:30:11,3.7,1.6
16394761,AN03980,2017-12-14,18:48:00,2017-12-14,22:12:00,5.9,3.4
16390616,AN17800,2017-12-14,16:07:00,2017-12-15,10:08:00,6.4,18.016666666666666
16397591,AN08988,2017-12-14,20:53:00,2017-12-14,22:27:00,1.6,1.5666666666666667
16392246,AN11012,2017-12-14,17:20:00,2017-12-14,20:27:00,6.9,3.1166666666666667
16398766,AN04016,2017-12-14,16:53:00,2017-12-14,22:05:00,9,5.2
16387328,AN09707,2017-12-14,13:00:00,2017-12-14,17:17:00,4.9,4.283333333333333
16400585,AN05955,2017-12-14,18:49:00,2017-12-15,08:58:00,4.8,14.15
16391427,AN03203,2017-12-14,16:43:00,2017-12-14,22:03:00,15.8,5.333333333333333
16394327,AN00298,2017-12-14,17:16:00,2017-12-14,18:32:00,2.6,1.2666666666666666
16401284,AN08570,2017-12-14,15:17:00,2017-12-15,09:59:00,9.3,18.7
16385364,AN01074,2017-12-14,10:32:00,2017-12-14,14:31:00,13.6,3.9833333333333334
16393937,AN05328,2017-12-14,18:19:00,2017-12-15,08:41:00,8.8,14.366666666666667
16391698,AN04293,2017-12-14,16:56:00,2017-12-14,17:31:00,2.2,0.5833333333333334
3079491,AN18146,2017-12-14,21:48:21,2017-12-15,07:43:21,15,9.916666666666666
16401007,AN02895,2017-12-14,21:20:00,2017-12-15,08:13:00,8.1,10.883333333333333
16380020,AN04200,2017-12-13,16:16:00,2017-12-14,08:27:00,6.5,16.183333333333334
3069260,AN23101,2017-12-13,16:03:16,2017-12-14,08:27:16,5.6,16.4
16377332,AN16898,2017-12-13,21:58:00,2017-12-14,00:23:00,39.2,2.4166666666666665
16379821,AN00852,2017-12-13,21:09:00,2017-12-14,09:21:00,1.7,12.2
16376256,AN05761,2017-12-13,20:55:00,2017-12-14,10:37:00,8.5,13.7
16445875,AN01817,2017-12-13,18:26:00,2017-12-14,11:05:00,8.6,16.65
16377341,AN02960,2017-12-13,21:53:00,2017-12-14,08:39:00,14.7,10.766666666666667
16371507,AN01978,2017-12-13,13:41:00,2017-12-13,17:39:00,8.4,3.966666666666667
16375326,AN06301,2017-12-13,20:10:00,2017-12-13,23:50:00,25.9,3.6666666666666665
16364645,AN01655,2017-12-13,08:58:00,2017-12-13,09:59:00,7.3,1.0166666666666666
16375051,AN08240,2017-12-13,19:56:00,2017-12-14,07:09:00,6.5,11.216666666666667
16406363,AN15785,2017-12-13,17:04:00,2017-12-13,18:24:00,11.7,1.3333333333333333
16370740,AN08765,2017-12-13,17:05:00,2017-12-13,18:43:00,0.4,1.6333333333333333
16379149,AN08091,2017-12-13,20:50:00,2017-12-14,06:39:00,12.9,9.816666666666666
16365431,AN00257,2017-12-13,11:16:00,2017-12-13,14:04:00,2.2,2.8
16350002,AN00218,2017-12-12,15:54:00,2017-12-12,16:11:00,0.9,0.2833333333333333
16354200,AN09713,2017-12-12,17:56:00,2017-12-12,18:35:00,2.3,0.65
16360700,AN16756,2017-12-12,18:09:00,2017-12-13,09:06:00,17.9,14.95
16344751,AN08718,2017-12-12,08:23:00,2017-12-12,09:43:00,3.3,1.3333333333333333
16347382,AN01318,2017-12-12,12:56:00,2017-12-12,18:37:00,12.2,5.683333333333334
3063646,AN19788,2017-12-12,19:40:19,2017-12-13,08:34:19,8.7,12.9
16347598,AN04052,2017-12-12,13:12:00,2017-12-13,11:05:00,1.7,21.883333333333333
16351250,AN14893,2017-12-12,16:50:00,2017-12-14,09:29:00,12.8,40.65
16378331,AN02497,2017-12-12,21:45:00,2017-12-16,14:06:00,30.1,88.35
16354510,AN08193,2017-12-12,18:41:00,2017-12-13,07:41:00,4.2,13
16348514,AN06359,2017-12-12,14:29:00,2017-12-12,15:14:00,3,0.75
16351490,AN08412,2017-12-12,16:56:00,2017-12-12,17:29:00,1.6,0.55
16331873,AN11161,2017-12-11,17:58:00,2017-12-12,05:10:00,1.6,11.2
16321722,AN14385,2017-12-11,07:02:00,2017-12-11,07:19:00,8.6,0.2833333333333333
16323288,AN11992,2017-12-11,09:06:00,2017-12-11,15:06:00,5,6
16329368,AN00633,2017-12-11,16:20:00,2017-12-12,12:26:00,14.3,20.1
16327098,AN11345,2017-12-11,14:00:00,2017-12-11,18:50:00,4.6,4.833333333333333
16326458,AN10998,2017-12-11,13:01:00,2017-12-12,08:59:00,13.8,19.966666666666665
16336121,AN11672,2017-12-11,21:11:00,2017-12-12,08:53:00,8.5,11.7
16327842,AN06251,2017-12-11,14:59:00,2017-12-11,15:52:00,3.2,0.8833333333333333
16335147,AN05200,2017-12-11,20:14:00,2017-12-12,07:39:00,7.5,11.416666666666666
16339150,AN00662,2017-12-11,17:56:00,2017-12-12,07:48:00,18.1,13.866666666666667
16334575,AN14395,2017-12-11,19:45:00,2017-12-12,07:46:00,34.4,12.016666666666667
3053847,AN22852,2017-12-11,15:49:15,2017-12-11,17:31:15,5,1.7
16337948,AN09887,2017-12-11,23:15:00,2017-12-12,09:34:00,5,10.316666666666666
16329807,AN16810,2017-12-11,16:21:00,2017-12-11,16:42:00,2,0.35
16326794,AN15542,2017-12-11,13:36:00,2017-12-11,14:18:00,0.9,0.7
16335560,AN14005,2017-12-11,20:38:00,2017-12-12,01:28:00,9.5,4.833333333333333
16339370,AN16648,2017-12-11,19:51:00,2017-12-12,07:56:00,10.7,12.083333333333334
16332360,AN05448,2017-12-11,18:14:00,2017-12-12,08:03:00,1.7,13.816666666666666
3045275,AN23101,2017-12-10,09:55:09,2017-12-11,12:52:09,1.9,26.95
16309299,AN01792,2017-12-10,12:22:00,2017-12-10,16:14:00,16.9,3.8666666666666667
16313456,AN11415,2017-12-10,16:31:00,2017-12-10,16:42:00,0.4,0.18333333333333332
16325800,AN02013,2017-12-10,14:13:00,2017-12-11,12:15:00,18.6,22.033333333333335
16308614,AN15083,2017-12-10,11:44:00,2017-12-10,14:04:00,0.8,2.3333333333333335
3048985,AN21944,2017-12-10,19:04:19,2017-12-10,23:01:19,8.2,3.95
16311825,AN03614,2017-12-10,13:24:00,2017-12-10,15:06:00,8.1,1.7
3046757,AN24387,2017-12-10,13:57:13,2017-12-11,09:54:13,5.8,19.95
16317903,AN13977,2017-12-10,22:21:00,2017-12-11,08:18:00,25.8,9.95
16311477,AN08308,2017-12-10,14:36:00,2017-12-10,17:22:00,6.8,2.7666666666666666
3047585,AN23139,2017-12-10,15:50:15,2017-12-11,18:41:15,6.4,26.85
16300885,AN10813,2017-12-09,19:19:00,2017-12-10,11:23:00,6.6,16.066666666666666
16296768,AN05642,2017-12-09,15:48:00,2017-12-10,12:09:00,6,20.35
16301401,AN12468,2017-12-09,20:00:00,2017-12-11,08:12:00,7.3,36.2
16303551,AN14777,2017-12-09,23:36:00,2017-12-10,11:39:00,13.8,12.05
16304615,AN04204,2017-12-09,18:23:00,2017-12-10,09:00:00,16.7,14.616666666666667
16302173,AN08448,2017-12-09,21:15:00,2017-12-10,06:58:00,7.7,9.716666666666667
16292829,AN10274,2017-12-09,12:30:00,2017-12-10,09:00:00,8.6,20.5
16289123,AN04530,2017-12-09,08:17:00,2017-12-09,09:40:00,17.4,1.3833333333333333
16293608,AN02698,2017-12-09,10:03:00,2017-12-09,13:09:00,17.1,3.1
16293609,AN13592,2017-12-09,01:11:00,2017-12-10,08:41:00,0.5,31.5
16302681,AN05200,2017-12-09,22:16:00,2017-12-10,13:03:00,2.1,14.783333333333333
16294156,AN09730,2017-12-09,08:19:00,2017-12-09,13:37:00,1.3,5.3
16287539,AN04762,2017-12-09,00:36:00,2017-12-09,14:43:00,2.8,14.116666666666667
16296755,AN00527,2017-12-09,15:47:00,2017-12-09,17:38:00,28.4,1.85
16302115,AN16717,2017-12-09,21:09:00,2017-12-10,11:54:00,1.6,14.75
16296660,AN11587,2017-12-09,15:42:00,2017-12-09,17:39:00,5.5,1.95
16280146,AN12554,2017-12-08,17:52:00,2017-12-09,08:56:00,9.2,15.066666666666666
16286560,AN08232,2017-12-08,16:31:00,2017-12-11,19:03:00,14.7,74.53333333333333
16283815,AN10350,2017-12-08,20:55:00,2017-12-09,08:40:00,2.6,11.75
16285965,AN11423,2017-12-08,23:51:00,2017-12-09,10:44:00,10.1,10.883333333333333
16274672,AN15083,2017-12-08,13:35:00,2017-12-08,17:17:00,9.4,3.7
16280248,AN01584,2017-12-08,17:56:00,2017-12-09,11:34:00,7,17.633333333333333
3035375,AN21799,2017-12-08,17:14:17,2017-12-08,19:49:17,6.8,2.5833333333333335
3035529,AN18910,2017-12-08,17:26:17,2017-12-09,08:36:17,21.7,15.166666666666666
3030675,AN23854,2017-12-08,01:46:01,2017-12-08,08:42:01,5.9,6.933333333333334
3036407,AN25051,2017-12-08,18:44:18,2017-12-09,07:12:18,11.4,12.466666666666667
